sim-id,trigtime,ra,dec,H1-snr,L1-snr,V1-snr,snr,npix,logZ-tensor-N-0,logZ-err-tensor-N-0,logZ-tensor-vector-R-2,logZ-err-tensor-vector-R-2
102,966469394.2662328,5.989507197999999,0.956884086,20.222988130999997,15.201607798,18.086531227000002,31.09952958512439,87,-12.231701743565663,0.04653587312286798,-11.005965927173586,0.027346452553591555
103,966470371.6829549,6.190576077,0.583625197,19.306153915,10.96248528,21.459818558,30.877620942134897,95,-7.3537881825051326,0.02396922261875613,-6.855930748538014,0.017092782365937014
104,966471238.9970069,1.875733972,1.215893984,23.349917671,11.538799725999999,10.166153418,27.959134995159076,90,-6.398984104480677,0.018361009978374514,-5.77944491671009,0.01965905785985159
105,966472016.9955491,4.078219891,-0.41339018899999996,16.904382197,4.159797333999999,2.726814764,17.620941237044416,53,-5.009923176256749,0.012294333219781598,-5.725603889803926,0.018350700763830625
106,966472873.3556743,4.395013809,0.456999511,6.8241633120000005,9.114877293,7.298781808999999,13.52488110375404,42,-6.0466208173591385,0.01669191550467129,-6.255785396356835,0.01684609494400763
107,966473697.5591412,2.7623000139999996,-0.133931905,9.905926148999999,15.105917945,20.830370212000002,27.57209554965839,102,-7.372165243249986,0.022364279793141886,-7.127830661415564,0.020606196666397614
108,966474482.6405213,1.690603018,-0.377988189,21.219669409,12.995228964,9.544179842,26.650360494944042,83,-7.372859924313115,0.02895913600487145,-6.857859670277909,0.02273418799083688
109,966475436.7628914,0.630061984,-0.275971115,24.5959255,17.730656232,11.583468218,32.457856638668034,97,-7.647212916932808,0.028444079587361278,-7.133564399713573,0.022165843739229547
110,966476225.3396488,1.9462130069999999,0.28880780899999997,24.161980795,22.493782139,26.728239800999997,42.47552652663066,94,-12.646374675356984,0.12159824725553128,-7.083873577300136,0.032702845146235095
111,966477083.0038755,0.189787105,0.241342098,2.088449087,6.810125547,26.920585415999998,27.84703482769835,102,-5.692100971297286,0.01411533068238853,-5.341711959828138,0.011207397647054886
112,966477821.0622933,3.92130208,0.918772101,12.157582822,5.623247546,13.453022342999999,18.984507978840053,72,-5.6197957383444646,0.014500192962516503,-5.542148119729481,0.01222739021607117
113,966478634.0402684,5.825509071,-0.372508794,23.488695898000003,35.127452077,33.660498815,54.02486376554105,95,-12.207016014224772,0.10962149034512447,-10.20208680821808,0.04475418006746322
114,966479560.3408769,4.917521954,0.8849685190000001,17.856462242,9.678319929,2.5215108180000003,20.466585871936267,70,-5.8178744007950245,0.016042421408622262,-5.995981439199894,0.012557865283882037
115,966480348.6438109,5.050005913,0.8816127779999999,18.043397222,8.802488146,5.6654456479999995,20.860135552334985,57,-5.559539073788672,0.016280363331401752,-5.886148432006348,0.012092953430246505
116,966481132.8549422,1.146350026,1.1840909720000001,28.333500853,16.745135396,14.986712467,36.16335687662107,84,-7.995649808859017,0.04535650034728543,-7.094434345614941,0.01623304880100262
