sim-id,trigtime,ra,dec,H1-snr,L1-snr,V1-snr,snr,npix,logZ-tensor-N-0,logZ-err-tensor-N-0,logZ-tensor-scalar-R-1,logZ-err-tensor-scalar-R-1,searched-prob-tensor,area-50-tensor,area-90-tensor,ra-cdf-tensor,dec-cdf-tensor
59,966433590.7686573,5.017643929,1.058632016,10.158829264,8.277324081,10.552091184,16.824462378110507,75,-7.29016136371319,0.01999810662301337,-6.939229323080299,0.020823197754886322,0.41254924394375636,283.656406952982,1210.7989771801808,0.4500140016802016,0.9722766732007841
60,966434391.8076493,2.200952053,0.330538899,8.558115199,13.78164705,9.702607612000001,18.902796767742302,70,-6.607087891939308,0.028238535793746446,-6.400253775292867,0.015159442275674031,0.14473009742766063,674.4187074884143,1814.279665771061,0.7029972752043597,0.9032697547683923
61,966435192.5465316,4.91078186,-0.210392594,9.62599661,12.73530808,6.49007508,17.232787272298168,63,-6.117146890341949,0.013771849294864401,-5.808341025033274,0.017463550650493306,0.6877449514654157,1331.458128316351,3908.72767829508,0.6492972231744943,0.3390469660610216
62,966435923.3286929,2.550282955,-0.38860610100000004,5.6297604560000005,12.532203392000001,9.677808973,16.805068020340677,70,-7.415225607930083,0.019964912412163364,-7.833606076327141,0.024555480112049086,0.05993618908664762,475.8622526221997,2433.766211878239,0.1744316902993473,0.2790907044789557
63,966436750.58512,5.524411201,-0.889311075,12.004161245999999,13.201732143,11.797976638,21.391069901860483,77,-6.293088602001661,0.0204913401914144,-6.1761555893705316,0.021122454590803846,0.4885197202226439,852.0368353592465,2091.0273081437444,0.8537859007832899,0.02237970906378217
64,966437685.6885507,2.916286945,-0.27644360100000004,9.971488467,8.748771474,22.314986327,25.960165625935193,83,-7.463010089348948,0.01971901160585154,-6.832757778034035,0.015866337905150272,0.043896467654242904,623.4030690161761,3707.4855475349004,0.3798140770252324,0.5132802124833997
65,966438488.7023937,3.344053984,-1.047121048,14.155521031,10.746657946,9.601565215,20.200482351798094,79,-7.574571892312942,0.03280151245093519,-6.34984760367965,0.022677640892534674,0.15282007789775878,341.90657942979124,1302.886464635761,0.7946799667497921,0.05901911886949293
66,966439349.1656429,3.798664093,-0.71726352,13.433388544000001,8.448868441,5.243376736,16.71323742735148,63,-5.626716528172712,0.0172374916102973,-5.84922694665665,0.013065389807095495,0.4978784234990843,1925.380377643406,5704.413667044501,0.7743517869656622,0.19096005606166783
67,966440200.0348392,0.879197001,-0.587677896,5.610882253,7.17629681,20.814519155,22.720595133405034,79,-5.747254246738813,0.012146870053357382,-5.3775843799074945,0.012076062176091818,0.8508693248986531,2465.992470680892,8562.422976929953,0.11954765751211632,0.4691437802907916
68,966440975.5751549,5.82459116,-1.1225420240000001,10.018088318,9.384581616,9.000994003999999,16.414943152952347,53,-5.86919088176327,0.01714459455883852,-5.565941579610028,0.018657034703695407,0.5928786450265595,1440.0475892527102,3716.345018206098,0.9644153957879448,0.11909949164851126
69,966441923.8422563,2.3973290919999997,1.053797007,11.018133704,10.691043339,8.535291459,17.565559435602253,61,-6.268159997080361,0.01938610228477594,-6.204295844062406,0.017290042794522807,0.6558319511830478,1040.820652474696,3104.1523665680465,0.38017845761631613,0.8989802421924793
70,966442770.8774732,2.523857117,-0.38844299299999996,9.294721182,12.444555363,3.068853119,15.832771693543982,67,-6.546577439637217,0.01749016024177231,-6.133637720781644,0.024794509903312178,0.18523124368578328,688.5132672368719,2158.9271783992644,0.18271520925484858,0.23851650221163662
71,966443508.0463868,3.6999430660000003,0.1888403,11.675806807999999,11.894207462,20.436301433,26.371178434557553,94,-6.791144786378624,0.017316420701437053,-6.449818486856425,0.0196137294145871,0.6200617478230157,713.7576708199476,1865.0710925981289,0.81811697574893,0.587018544935806
72,966444391.1877311,3.148665905,-0.018948911000000002,3.624074902,15.692924877000001,12.677373185999999,20.496770501412744,63,-7.009034722604564,0.025742459241638798,-6.9856206068124385,0.0335049083668173,0.4667988496478247,381.4590257819294,1325.7160971597768,0.6564118184587268,0.3505939689308559
73,966445136.1558515,2.91022706,0.986872315,8.103562039,10.592224337000001,11.638966808,17.701087042410208,72,-6.795722529238695,0.01704039469480993,-6.500983627527849,0.020136241548604182,0.2089831991784345,632.3610227644945,2270.5133081678346,0.46621237932992615,0.8753549119818285
74,966446074.2363958,5.836676121,0.469634801,10.363593909,12.980560325,5.247981277,17.419538815518873,55,-7.097654287645955,0.020213669362386357,-6.234495541122888,0.024403022086657063,0.06750661874799209,316.49724445845663,1512.9451963845363,0.8407752698724239,0.5934739941118744
75,966446977.0969534,4.192680836,-0.48448750399999996,15.154135418,7.745613045,10.531461036,20.01384553909474,75,-6.320320775208628,0.013582389947337488,-6.273307419734211,0.019574124284288306,0.5813733684396561,1395.0645241050154,4690.879776863328,0.7285760834147931,0.3326816552623004
76,966447768.7731642,4.558440208,-1.159067035,15.475384932,11.892662912999999,7.58057766,20.937720210546072,56,-6.362081946163234,0.022660528386941,-5.968705009300146,0.02375465383395323,0.49828944661566815,658.8529890884197,2088.433970532377,0.8704243602202786,0.02397149335924846
77,966448645.5620782,0.469430894,-0.46871641299999994,10.702399817,4.985848634,22.00943196,24.976291631183976,75,-7.180845476036677,0.02213691101074138,-7.019680787524846,0.020388252177295684,0.379589178376973,559.7107116266972,2645.7779565618043,0.03865791393143691,0.45805981035740334
78,966449438.7522944,4.689691067,-0.311218113,13.941264495,10.444694813,8.259067252000001,19.278555374542865,62,-6.237829446432655,0.018843806017339548,-5.966221078333269,0.018719895971280827,0.07438016340439954,1219.6999031677603,3494.6020283851194,0.7312541473125415,0.42667551426675515
79,966450319.3602328,3.36696291,0.09627593300000001,7.803977125,16.012924752,8.714483142,19.83073459337651,61,-6.514427285489136,0.0221303949559233,-6.977712962584316,0.03248203276778136,0.22734568452183185,455.8744398572541,1639.6898702893532,0.548150240045185,0.7297373623270262
80,966451034.2388333,5.059707165,1.4075319769999999,10.443056958,8.268760439,13.646145156,19.069533697608495,66,-6.109903153029931,0.019970350281548133,-5.938747463910986,0.019794859055394194,0.5290853965110077,895.0387431988203,2736.082642251719,0.5989029825162838,0.9739458347617416
81,966451879.950648,3.473279953,0.650047183,8.404030086,11.346392301,10.503756859,17.598217184918898,46,-5.961297701317023,0.019243085666957965,-5.977061034393769,0.017883141516926375,0.09413289134217792,817.2143605658608,2314.4912896477995,0.6870725034199726,0.9186046511627907
82,966452710.8255734,1.34484899,-1.18552494,11.286607942,9.202846564,19.835538915999997,24.607488856140815,82,-7.329196734707031,0.023485030179781836,-7.029190160940735,0.023671445939554572,0.038832392173757745,562.7056131242782,1867.2574806669074,0.23846153846153847,0.10934065934065934
83,966453658.1423149,5.044246197,-0.9346209759999999,14.25370213,9.902079002999999,3.9353449910000005,17.79623929909375,80,-6.338166855211948,0.019008139217509438,-6.0862817753995255,0.024011429589731344,0.591352866660334,882.1287307909606,2555.4854796286513,0.919432918395574,0.07192254495159059
84,966454383.6048882,3.8035979269999998,0.157894894,6.077751258999999,14.879033937,11.589457177,19.81515149884529,63,-6.876359226431403,0.0230643230274832,-6.666298104754246,0.024379627832083542,0.6083405534870824,397.77800899555274,1558.5697919747965,0.7634088200238379,0.7890345649582837
85,966455229.2924796,2.7013568880000003,0.863999486,16.777799377,15.38461817,4.824001374,23.26912154396701,83,-6.450322800848566,0.01929250295626322,-6.524695043195192,0.01539960884466111,0.2639599457020505,736.298407103049,1997.913189981413,0.485080058224163,0.6935953420669578
86,966456099.4149297,2.811041117,0.179113999,8.646723917000001,11.40895862,8.712573109,16.758254726234533,68,-6.2252733752831295,0.019875982482086597,-6.155841866628353,0.017376689882362562,0.6545087244713879,946.7349185495791,2423.8200461182187,0.3261515601783061,0.5297176820208024
87,966456966.6938748,3.993596077,0.612660825,10.674009628,13.437139157,6.814002825,18.464068478055623,48,-5.494073226248832,0.01298293301919918,-5.8168981364759755,0.014208714631908065,0.43428787855166445,2094.9097083398237,6297.4881585943285,0.5602388479100808,0.9269406392694064
88,966457725.5504688,6.096737862,-0.35198909,15.243022083,13.966480824000001,12.429037217000001,24.122464114836124,86,-6.695342875991437,0.027645675773519986,-6.658089199105962,0.018630379092154967,0.1459135960630397,662.3937669865419,1931.2161245063037,0.9034596375617793,0.5640856672158154
89,966458579.2437928,5.840044022000001,-0.161384702,12.321588443,16.467156769000002,7.821720896,22.003820386206048,75,-6.4623033761589985,0.019461887840700593,-6.329282171696023,0.018499296359450818,0.8013174252008893,819.3805600591137,2001.1089038377856,0.8330213403219768,0.5039311119430925
